Title,Origin,Page,Link,Open Link,Composers,Tags,AI_Guessed_Key,Reference,Key,Genre,Key_Match,Predicted Key
Pineapple Princess - G7,Sun City Uke Book 4,,https://scukes.org/songs4/Pineapple%20Princess%20-%20G7.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
Pineapple Princess,Dr. Uke 3900,,https://doctoruke.com/pineappleprincess.pdf,Open Song,,Ukulele,F,Dr. Uke,,Pop/Rock,,
Pink Cadillac,Sun City Uke Book 3,,https://scukes.org/songs3/Pink%20Cadillac.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Pink Cadillac - D,Sun City Uke,,https://scukes.org/songs/Pink%20Cadillac%20-%20D.pdf,Open Song,,Ukulele,,Sun City Uke Club,D,Pop/Rock,,
Pirate Looks at 40 - G,Sun City Uke Book 4,,https://scukes.org/songs4/Pirate%20Looks%20at%2040%20-%20G.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
Pirates Who Don't Do Anything,Ukejams 2026 Songbook,817,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Place In The Sun,Sun City Uke,,https://scukes.org/songs/Place%20In%20The%20Sun.pdf,Open Song,,Ukulele,G,Sun City Uke Club,,Pop/Rock,,
A Place In the Choir-D,Dr. Uke 3900,,https://doctoruke.com/placeinthechoird.pdf,Open Song,,Ukulele,D,Dr. Uke,D,Pop/Rock,Match,
A Place In the Choir-F,Dr. Uke 3900,,https://doctoruke.com/placeinthechoirf.pdf,Open Song,,Ukulele,F,Dr. Uke,F,Pop/Rock,Match,
A Place In the Sun,Dr. Uke 3900,,https://doctoruke.com/placeinthesun.pdf,Open Song,,Ukulele,F,Dr. Uke,,Pop/Rock,,
Places In My Past,Dr. Uke 3900,,https://doctoruke.com/placesinmypast.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Plaisir D'Amour,Dr. Uke 3900,,https://doctoruke.com/plaisirdamour.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Plaisir D'Amour-with key change-C,Dr. Uke 3900,,https://doctoruke.com/plaisirdamourkc.pdf,Open Song,,Ukulele,F,Dr. Uke,C,Pop/Rock,Mismatch,
Plant a Radish,Dr. Uke 3900,,https://doctoruke.com/plantaradish.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Plastic Jesus,Ukejams 2026 Songbook,818,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Play A Simple Melody - A,Sun City Uke,,https://scukes.org/songs/Play%20A%20Simple%20Melody%20-%20A.pdf,Open Song,,Ukulele,,Sun City Uke Club,A,Pop/Rock,,
Play That Song,Ukejams 2026 Songbook,819,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Play a Simple Melody,Dr. Uke 3900,,https://doctoruke.com/playasimplemelody.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Playin' Groovy - F,Sun City Uke,,https://scukes.org/songs/Playin'%20Groovy%20-%20F.pdf,Open Song,,Ukulele,C,Sun City Uke Club,F,Pop/Rock,Mismatch,
Playin' Groovy - Parody,Ukejams 2026 Songbook,1327,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Play Me,Dr. Uke 3900,,https://doctoruke.com/playme.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Pleasant Valley Sunday,Dr. Uke 3900,,https://doctoruke.com/pleasantvalleysunday.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Please Break Me Gently,Ukejams 2026 Songbook,820,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Please Don't Bury Me,Ukejams 2026 Songbook,821,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Please Don't Let Me Be Misunderstood,Sun City Uke Book 2,,https://scukes.org/songs2/Please%20Don't%20Let%20Me%20Be%20Misunderstood.pdf,Open Song,,Ukulele,Am,Sun City Uke Club,,Pop/Rock,,
Please Don't Let Me Be Misunderstood,Ukejams 2026 Songbook,822,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,Am,Ukejams 2026 Songbook,,Pop/Rock,,
Please Don't Let Me Be Misunderstood (Am),Ukejams 2026 Songbook,823,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,Am,Pop/Rock,,
Please Don't Talk About Me - C,Sun City Uke Book 4,,https://scukes.org/songs4/Please%20Don't%20Talk%20About%20Me%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Please Don't Talk About Me When I'm Gone,Sun City Uke Book 1,,https://scukes.org/songs1/Please%20Don't%20Talk%20About%20Me%20When%20I'm%20Gone.pdf,Open Song,,Ukulele,E,Sun City Uke Club,,Pop/Rock,,
Please Don't Talk About Me When I'm Gone - C,Sun City Uke,,https://scukes.org/songs/Please%20Don't%20Talk%20About%20Me%20When%20I'm%20Gone%20-%20C.pdf,Open Song,,Ukulele,E,Sun City Uke Club,C,Pop/Rock,Mismatch,
Please Mr Postman,Ukejams 2026 Songbook,825,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Please Mr. Please,Ukejams 2026 Songbook,824,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Please Mr. Postman - C,Sun City Uke Book 4,,https://scukes.org/songs4/Please%20Mr.%20Postman%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Please Please Me - G,Sun City Uke Book 4,,https://scukes.org/songs4/Please%20Please%20Me%20-%20G.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
Please Release Me - G,Sun City Uke,,https://scukes.org/songs/Please%20Release%20Me%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Please Be Kind-D,Dr. Uke 3900,,https://doctoruke.com/pleasebekind.pdf,Open Song,,Ukulele,,Dr. Uke,D,Pop/Rock,,
Please Come To Boston,Dr. Uke 3900,,https://doctoruke.com/pleasecometoboston.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Please Don't Eat the Daisies,Dr. Uke 3900,,https://doctoruke.com/pleasedonteat.pdf,Open Song,,Ukulele,F,Dr. Uke,,Pop/Rock,,
Please Don't Talk About Me When I'm Gone,Dr. Uke 3900,,https://doctoruke.com/pleasedonttalk.pdf,Open Song,,Ukulele,E,Dr. Uke,,Pop/Rock,,
"Please Help Me, I'm Fallin'/Send Me the Pillow That You Dream On",Dr. Uke 3900,,https://doctoruke.com/pleasehelpmesendmethepillow.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Please Love Me Forever,Dr. Uke 3900,,https://doctoruke.com/pleaselovemeforever.pdf,Open Song,,Ukulele,Bb,Dr. Uke,,Pop/Rock,,
"Please, Mr. Postman",Dr. Uke 3900,,https://doctoruke.com/pleasemrpostman.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Please Please Me,Dr. Uke 3900,,https://doctoruke.com/pleasepleaseme.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Release Me,Dr. Uke 3900,,https://doctoruke.com/pleasereleaseme.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Please Stay-D,Dr. Uke 3900,,https://doctoruke.com/pleasestayd.pdf,Open Song,,Ukulele,D,Dr. Uke,D,Pop/Rock,Match,
Please Stay-F,Dr. Uke 3900,,https://doctoruke.com/pleasestayf.pdf,Open Song,,Ukulele,D,Dr. Uke,F,Pop/Rock,Mismatch,
Pocketful Of Rainbows - D,Sun City Uke,,https://scukes.org/songs/Pocketful%20Of%20Rainbows%20-%20D.pdf,Open Song,,Ukulele,Bm,Sun City Uke Club,D,Pop/Rock,Mismatch,
Pocketful of Rainbows,Dr. Uke 3900,,https://doctoruke.com/pocketfulofrainbows.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Pocketful of Rainbows-Bb,Dr. Uke 3900,,https://doctoruke.com/pocketfulofrainbowsbb.pdf,Open Song,,Ukulele,Bb,Dr. Uke,Bb,Pop/Rock,Match,
"Poems, Prayers and Promises",Dr. Uke 3900,,https://doctoruke.com/poemsprayersandpromises.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
"Poems, Prayers and Promises-A",Dr. Uke 3900,,https://doctoruke.com/poemsprayersandpromisesa.pdf,Open Song,,Ukulele,A,Dr. Uke,A,Pop/Rock,Match,
Poetry in Motion,Sun City Uke Book 1,,https://scukes.org/songs1/Poetry%20in%20Motion.pdf,Open Song,,Ukulele,G,Sun City Uke Club,,Pop/Rock,,
Poetry In Motion - F,Sun City Uke,,https://scukes.org/songs/Poetry%20In%20Motion%20-%20F.pdf,Open Song,,Ukulele,G,Sun City Uke Club,F,Pop/Rock,Mismatch,
Poetry In Motion/Dream Lover medley-D,Dr. Uke 3900,,https://doctoruke.com/poetryinmotion-dreamlovermed.pdf,Open Song,,Ukulele,,Dr. Uke,D,Pop/Rock,,
I'm Telling You Now (with Poetry In Motion)-G,Dr. Uke 3900,,https://doctoruke.com/poetryinmotionimtelling.pdf,Open Song,,Ukulele,F,Dr. Uke,G,Pop/Rock,Mismatch,
Poetry Man,Dr. Uke 3900,,https://doctoruke.com/poetryman.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Poinciana-A,Dr. Uke 3900,,https://doctoruke.com/poinciana.pdf,Open Song,,Ukulele,A,Dr. Uke,A,Pop/Rock,Match,
Poinciana-F,Dr. Uke 3900,,https://doctoruke.com/poincianaf.pdf,Open Song,,Ukulele,C,Dr. Uke,F,Pop/Rock,Mismatch,
Poison Ivy - C,Sun City Uke Book 4,,https://scukes.org/songs4/Poison%20Ivy%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Poison Ivy - G,Sun City Uke,,https://scukes.org/songs/Poison%20Ivy%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Poison Ivy,Dr. Uke 3900,,https://doctoruke.com/poisonivy.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Political Science,Ukejams 2026 Songbook,826,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Polk Salad Annie - G,Sun City Uke,,https://scukes.org/songs/Polk%20Salad%20Annie%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Polka Dots and Moonbeams,Dr. Uke 3900,,https://doctoruke.com/polkadotsandmoonbeams.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Polly Von,Dr. Uke 3900,,https://doctoruke.com/pollyvon.pdf,Open Song,,Ukulele,Dm,Dr. Uke,,Pop/Rock,,
Poor Little Fool - G,Sun City Uke,,https://scukes.org/songs/Poor%20Little%20Fool%20-%20G.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
Poor Poor Pitiful Me - G,Sun City Uke Book 4,,https://scukes.org/songs4/Poor%20Poor%20Pitiful%20Me%20-%20G.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
Poor Little Fool,Dr. Uke 3900,,https://doctoruke.com/poorlittlefool.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Poor Little Rich Girl,Dr. Uke 3900,,https://doctoruke.com/poorlittlerichgirl.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
"Poor, Poor Pitiful Me",Dr. Uke 3900,,https://doctoruke.com/poorpoorpitifulme.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
The Poor Side of Town,Dr. Uke 3900,,https://doctoruke.com/poorsideoftown.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Pop Muzik,Ukejams 2026 Songbook,828,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Popcorn Pop Pop,Ukejams 2026 Songbook,827,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Popsicle Toes,Dr. Uke 3900,,https://doctoruke.com/popsicletoes.pdf,Open Song,,Ukulele,Am,Dr. Uke,,Pop/Rock,,
Pork and Beans,Ukejams 2026 Songbook,829,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Pork Pie Hat,Dr. Uke 3900,,https://doctoruke.com/porkpiehat.pdf,Open Song,,Ukulele,Eb,Dr. Uke,,Pop/Rock,,
Portrait of Jennie,Dr. Uke 3900,,https://doctoruke.com/portraitofjennie.pdf,Open Song,,Ukulele,Eb,Dr. Uke,,Pop/Rock,,
Portrait of My Love,Dr. Uke 3900,,https://doctoruke.com/portraitofmylove.pdf,Open Song,,Ukulele,Bb,Dr. Uke,,Pop/Rock,,
Positively 4th Street,Sun City Uke Book 1,,https://scukes.org/songs1/Positively%204th%20Street.pdf,Open Song,,Ukulele,Gm,Sun City Uke Club,,Pop/Rock,,
Positively 4th Street - F,Sun City Uke,,https://scukes.org/songs/Positively%204th%20Street%20-%20F.pdf,Open Song,,Ukulele,Gm,Sun City Uke Club,F,Pop/Rock,Mismatch,
Powder Your Face With Sunshine,Dr. Uke 3900,,https://doctoruke.com/powderyourface.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
The Power of Gold-D,Dr. Uke 3900,,https://doctoruke.com/powerofgold.pdf,Open Song,,Ukulele,C,Dr. Uke,D,Pop/Rock,Mismatch,
Power of Love,Dr. Uke 3900,,https://doctoruke.com/poweroflove.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
A Prairie Lullaby,Dr. Uke 3900,,https://doctoruke.com/prairielullaby.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Precious and Few,Ukejams 2026 Songbook,830,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Precious and Few-C,Dr. Uke 3900,,https://doctoruke.com/preciousandfewc.pdf,Open Song,,Ukulele,D,Dr. Uke,C,Pop/Rock,Mismatch,
Precious and Few-F,Dr. Uke 3900,,https://doctoruke.com/preciousandfewf.pdf,Open Song,,Ukulele,G,Dr. Uke,F,Pop/Rock,Mismatch,
A Preposition Song,Dr. Uke 3900,,https://doctoruke.com/preposition.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Pretend-D,Dr. Uke 3900,,https://doctoruke.com/pretend.pdf,Open Song,,Ukulele,,Dr. Uke,D,Pop/Rock,,
Pretty Little Angel Eyes - F,Sun City Uke,,https://scukes.org/songs/Pretty%20Little%20Angel%20Eyes%20-%20F.pdf,Open Song,,Ukulele,Bb,Sun City Uke Club,F,Pop/Rock,Mismatch,
Pretty Little Angel Eyes L,Sun City Uke Book 2,,https://scukes.org/songs2/Pretty%20Little%20Angel%20Eyes%20L.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Pretty Paper - D,Sun City Uke,,https://scukes.org/songs/Pretty%20Paper%20-%20D.pdf,Open Song,,Ukulele,D,Sun City Uke Club,D,Pop/Rock,Match,
Pretty Woman - A,Sun City Uke,,https://scukes.org/songs/Pretty%20Woman%20-%20A.pdf,Open Song,,Ukulele,A,Sun City Uke Club,A,Pop/Rock,Match,
Pretty Woman L,Sun City Uke Book 2,,https://scukes.org/songs2/Pretty%20Woman%20L.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Pretty Woman x - D,Sun City Uke,,https://scukes.org/songs/Pretty%20Woman%20x%20-%20D.pdf,Open Song,,Ukulele,D,Sun City Uke Club,D,Pop/Rock,Match,
Pretty Baby,Dr. Uke 3900,,https://doctoruke.com/prettybaby.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Pretty Blue Eyes,Dr. Uke 3900,,https://doctoruke.com/prettyblueeyes.pdf,Open Song,,Ukulele,Am,Dr. Uke,,Pop/Rock,,
Pretty Flamingo,Dr. Uke 3900,,https://doctoruke.com/prettyflamingo.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
A Pretty Girl Is Like a Melody,Dr. Uke 3900,,https://doctoruke.com/prettygirl.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Pretty Little Baby,Dr. Uke 3900,,https://doctoruke.com/prettylittlebaby.pdf,Open Song,,Ukulele,Bbm,Dr. Uke,,Pop/Rock,,
Pretty Little Baby-no key change,Dr. Uke 3900,,https://doctoruke.com/prettylittlebabynkc.pdf,Open Song,,Ukulele,Am,Dr. Uke,,Pop/Rock,,
Pretty Mary,Dr. Uke 3900,,https://doctoruke.com/prettymary.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Pretty Paper,Dr. Uke 3900,,https://doctoruke.com/prettypaper.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Pretty Woman,Dr. Uke 3900,,https://doctoruke.com/prettywoman.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
Pride (In the Name of Love),Ukejams 2026 Songbook,831,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Pride and Joy,Dr. Uke 3900,,https://doctoruke.com/prideandjoy.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Smith Family TV theme (Primrose Lane),Dr. Uke 3900,,https://doctoruke.com/primroselane.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Smith Family TV theme (Primrose Lane)-with key change-C,Dr. Uke 3900,,https://doctoruke.com/primroselanekc.pdf,Open Song,,Ukulele,Bb,Dr. Uke,C,Classic Rock,Mismatch,
Prisoner of Love,Dr. Uke 3900,,https://doctoruke.com/prisoneroflove.pdf,Open Song,,Ukulele,C,Dr. Uke,,Classic Rock,,
Problems,Dr. Uke 3900,,https://doctoruke.com/problems.pdf,Open Song,,Ukulele,F,Dr. Uke,,Classic Rock,,
Promises,Dr. Uke 3900,,https://doctoruke.com/promises.pdf,Open Song,,Ukulele,D,Dr. Uke,,"Classic Rock, Pop/Rock",,
Promises,Ukejams 2026 Songbook,832,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,D,Ukejams 2026 Songbook,,"Classic Rock, Pop/Rock",,
Proud Mary,Sun City Uke Book 3,,https://scukes.org/songs3/Proud%20Mary.pdf,Open Song,,Ukulele,D,Sun City Uke Club,,Pop/Rock,,
Proud Mary - C,Sun City Uke,,https://scukes.org/songs/Proud%20Mary%20-%20C.pdf,Open Song,,Ukulele,F,Sun City Uke Club,C,Pop/Rock,Mismatch,
Proud Mary - D,Sun City Uke,,https://scukes.org/songs/Proud%20Mary%20-%20D.pdf,Open Song,,Ukulele,,Sun City Uke Club,D,Pop/Rock,,
Proud Mary,Dr. Uke 3900,,https://doctoruke.com/proudmary.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
P.S. I Love You,Dr. Uke 3900,,https://doctoruke.com/psiloveyou.pdf,Open Song,,Ukulele,F#,Dr. Uke,,Pop/Rock,,
P.S. I Love You (Beatles),Dr. Uke 3900,,https://doctoruke.com/psiloveyoubeatles.pdf,Open Song,,Ukulele,A,Dr. Uke,B,Pop/Rock,Mismatch,
Psycho Killer,Sun City Uke Book 3,,https://scukes.org/songs3/Psycho%20Killer.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Puamana,Sun City Uke Book 1,,https://scukes.org/songs1/Puamana.pdf,Open Song,,Ukulele,C,Sun City Uke Club,,Pop/Rock,,
Puamana - C,Sun City Uke,,https://scukes.org/songs/Puamana%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
"Puff, the Magic Dragon-F",Dr. Uke 3900,,https://doctoruke.com/puff.pdf,Open Song,,Ukulele,,Dr. Uke,F,Pop/Rock,,
Puff The Magic Dragon,Sun City Uke,,https://scukes.org/songs/Puff%20The%20Magic%20Dragon.pdf,Open Song,,Ukulele,C,Sun City Uke Club,,Pop/Rock,,
Puff the Magic Dragon,Ukejams 2026 Songbook,833,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
"Puff, the Magic Dragon-G Bar",Doctor Uke,,https://www.doctoruke.com/puffthemagicdragongbar.pdf,Open Song,,Ukulele,,Dr. Uke,G,Pop/Rock,,
"Puff, the Magic Dragon-F",Dr. Uke 3900,,https://doctoruke.com/pufff.pdf,Open Song,,Ukulele,,Dr. Uke,F,Pop/Rock,,
"Puff, the Magic Dragon-C",Dr. Uke 3900,,https://doctoruke.com/pufffkc.pdf,Open Song,,Ukulele,,Dr. Uke,C,Pop/Rock,,
"Puff, the Magic Dragon-G Bar",Dr. Uke 3900,,https://doctoruke.com/puffthemagicdragongbar.pdf,Open Song,,Ukulele,,Dr. Uke,G,Pop/Rock,,
The Puppy Song-G,Dr. Uke 3900,,https://doctoruke.com/puppysong.pdf,Open Song,,Ukulele,E,Dr. Uke,G,Pop/Rock,Mismatch,
Pupu Hinuhinu - Maile Lei Medley - C,Sun City Uke,,https://scukes.org/songs/Pupu%20Hinuhinu%20-%20Maile%20Lei%20Medley%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
PurchasingYourFirstUkulele,Sun City Education,,https://scukes.org/doc/Mentorship/PurchasingYourFirstUkulele.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Purple People Eater,Dr. Uke 3900,,https://doctoruke.com/purplepeopleeater.pdf,Open Song,,Ukulele,Eb,Dr. Uke,,Pop/Rock,,
Purple People Eater-no key change,Dr. Uke 3900,,https://doctoruke.com/purplepeopleeaternkc.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
"Pussywillows, Cat-Tails",Dr. Uke 3900,,https://doctoruke.com/pussywillows.pdf,Open Song,,Ukulele,Em,Dr. Uke,,Pop/Rock,,
Put a Little Love in Your Heart,Ukejams 2026 Songbook,834,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Put A Little Love In Your Heart - C To D,Sun City Uke,,https://scukes.org/songs/Put%20A%20Little%20Love%20In%20Your%20Heart%20-%20C%20To%20D.pdf,Open Song,,Ukulele,D,Sun City Uke Club,C,Pop/Rock,Mismatch,
Put A Little Love In Your Heart NW,Sun City Uke,,https://scukes.org/songs/Put%20A%20Little%20Love%20In%20Your%20Heart%20NW.pdf,Open Song,,Ukulele,C,Sun City Uke Club,,Pop/Rock,,
Put The Lime In The Coconut,Sun City Uke,,https://scukes.org/songs/Put%20The%20Lime%20In%20The%20Coconut.pdf,Open Song,,Ukulele,C,Sun City Uke Club,,Pop/Rock,,
Put Your Hand in the Hand,Ukejams 2026 Songbook,837,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Put Your Hand In The Hand - G,Sun City Uke,,https://scukes.org/songs/Put%20Your%20Hand%20In%20The%20Hand%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
Put Your Head on My Shoulder,Sun City Uke Book 3,,https://scukes.org/songs3/Put%20Your%20Head%20on%20My%20Shoulder.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Put Your Head On My Shoulder - D,Sun City Uke,,https://scukes.org/songs/Put%20Your%20Head%20On%20My%20Shoulder%20-%20D.pdf,Open Song,,Ukulele,,Sun City Uke Club,D,Pop/Rock,,
Put Your Records On,Ukejams 2026 Songbook,838,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Put a Little Love In Your Heart,Dr. Uke 3900,,https://doctoruke.com/putalittleloveinyourheart.pdf,Open Song,,Ukulele,F,Dr. Uke,,Pop/Rock,,
Put On a Happy Face,Dr. Uke 3900,,https://doctoruke.com/putonahappyface.pdf,Open Song,,Ukulele,Bb,Dr. Uke,,Pop/Rock,,
Put On a Happy Face-C,Dr. Uke 3900,,https://doctoruke.com/putonahappyfacec.pdf,Open Song,,Ukulele,G,Dr. Uke,C,Pop/Rock,Mismatch,
Put On Your Sunday Clothes,Dr. Uke 3900,,https://doctoruke.com/putonyoursunday.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Put On Your Sunday Clothes-with key change-C,Dr. Uke 3900,,https://doctoruke.com/putonyoursundaykc.pdf,Open Song,,Ukulele,Bb,Dr. Uke,C,Pop/Rock,Mismatch,
Puttin' On The Ritz,Sun City Uke,,https://scukes.org/songs/Puttin'%20On%20The%20Ritz.pdf,Open Song,,Ukulele,Dm,Sun City Uke Club,,Pop/Rock,,
Puttin' on the Ritz,Ukejams 2026 Songbook,835,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Putting On the Style,Ukejams 2026 Songbook,836,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Puttin' On the Ritz,Dr. Uke 3900,,https://doctoruke.com/puttinontheritz.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
"Put Your Arms Around Me, Honey",Dr. Uke 3900,,https://doctoruke.com/putyourarmsaroundme.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
